Hyphen	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
LAMC2	282	174	201	95	105	101
LAMC3	82	60	57	89	103	86
LAMP1	549	767	562	727	549	758
LAMP2	4995	5067	5021	7183	6124	5385
LAMP3	2	0	6	5	5	25
LAMP5	12	28	22	16	22	31
LAMTOR1	5613	5125	4147	6841	7304	4682
LAMTOR2	1281	1569	1267	1365	1836	1274
LAMTOR3	2427	2093	2233	3330	2602	1820
LAMTOR4	2487	2826	2557	2972	3310	2533
LAMTOR5	3263	3433	3748	5212	4692	3892
LANCL1	3950	4175	3568	12846	8366	5752
LANCL2	378	304	204	536	348	233
LANCL3	7	7	8	1	5	4
LAP3	3409	3368	2976	4270	3475	2565
LAPTM4A	17425	19513	19135	17768	17845	18038
LAPTM4B	5963	5451	5757	5998	5460	4653
LAPTM5	12	22	20	32	62	108
LARP1	6227	5625	4544	5783	6731	3929
LARP1B	678	572	609	694	506	520
LARP4	3958	3721	3943	4081	2993	2786
LARP4B	4902	4846	3939	5291	5188	3455
LARP6	99	116	113	151	93	96
LARP7	2581	2432	2714	2346	1561	1982
LARS2	1258	1303	1003	1144	1358	874
LAS1L	3808	4433	3567	4191	5034	3260
LASP1	1164	986	1082	1032	1226	1016
LAT	9	11	11	14	6	5
LAT2	36	35	27	66	57	35
LATS1	709	463	557	813	467	452
LATS2	133	116	112	206	165	116
LAX1	1	6	5	3	1	5
LAYN	49	51	50	80	59	107
LBH	1316	1206	1133	881	1179	957
LBHD1	59	48	49	81	62	47
LBP	3	2	4	4	2	1
LBR	9387	9279	9129	13455	8534	7309
LBX1	0	1	1	0	0	0
LBX2	9	7	10	21	16	3
LCA5	272	311	304	213	186	282
LCA5L	44	60	43	55	64	85
LCAT	130	146	98	165	252	120
LCE1A	0	0	0	0	0	0
LCE1B	0	0	0	0	0	0
LCE1C	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0
LCE1E	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0
LCE2B	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0
LCE3A	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0
LCE3D	0	0	0	0	0	0
LCE3E	0	0	0	0	0	0
LCE4A	0	0	0	0	0	0
LCE5A	0	0	0	0	0	0
LCE6A	0	0	0	0	0	0
LCK	162	56	151	21	14	17
LCLAT1	3328	3627	3151	3674	3697	2892
LCMT1	1728	1989	1803	1708	2097	1827
LCMT2	298	245	208	326	202	167
LCN1	0	0	1	2	3	6
LCN10	0	0	0	0	0	0
LCN12	0	0	0	0	0	1
LCN15	2	4	4	4	12	14
LCN2	0	0	1	0	0	1
LCN6	0	0	0	0	0	0
LCN8	0	0	0	0	0	0
LCN9	0	0	0	0	0	0
LCNL1	0	0	0	0	0	2
LCOR	972	915	865	953	925	1051
LCORL	518	414	550	624	456	443
LCP1	1093	1247	898	514	654	649
LCP2	2	2	5	5	4	6
LCT	2	2	2	3	1	1
LCTL	74	68	74	80	83	82
LDAH	2107	2159	1981	2388	2493	1959
LDB1	212	216	146	179	299	172
LDB2	2606	2586	2982	1903	1958	1789
LDB3	17	19	10	9	4	8
LDHA	48654	63703	77910	65163	82504	80673
LDHAL6A	4	4	7	3	5	7
LDHAL6B	0	0	0	0	0	0
LDHB	87369	111646	105544	100748	100713	102261
LDHC	52	85	101	43	29	48
LDHD	8	1	3	1	0	0
LDLR	5964	7083	4838	9373	9478	5670
LDLRAD1	0	1	1	0	0	0
LDLRAD2	1	0	3	0	1	0
LDLRAD3	815	770	683	1069	580	703
LDLRAD4	10	18	12	21	22	25
LDLRAP1	96	105	108	133	123	90
LDOC1	442	393	396	435	398	439
LEAP2	61	82	43	48	78	60
LECT2	8	14	9	4	3	0
LEF1	1793	2355	1617	2267	2145	1929
LEFTY1	10	35	43	7	8	14
LEFTY2	107	191	163	141	112	170
LEKR1	16	9	5	14	10	23
LELP1	0	0	0	0	0	0
LEMD1	6	9	25	3	10	8
LEMD2	49	70	63	89	71	69
LEMD3	752	604	769	830	626	694
LENEP	0	1	0	0	4	0
LENG1	7	8	9	13	9	4
LENG8	6	11	6	12	14	5
LENG9	0	0	0	0	0	0
LEO1	3563	3896	3227	4274	4168	3404
LEP	0	3	0	0	0	0
LEPR	117	160	152	206	334	196
LEPROT	1600	1432	1473	2682	2510	1823
LEPROTL1	4725	4652	4828	6027	4651	4079
LETM1	3031	3462	2420	3276	3215	2322
LETM2	91	109	96	94	99	117
LETMD1	662	821	800	846	1141	1017
LEUTX	0	0	0	0	0	0
LFNG	28	19	24	17	8	22
LGALS1	843	1675	1648	3003	4231	5371
LGALS12	104	114	101	52	69	69
LGALS13	0	0	0	0	0	0
LGALS14	0	0	0	0	0	0
LGALS16	0	0	0	0	0	0
LGALS2	0	0	0	4	5	15
LGALS3	108	111	123	163	100	142
LGALS3BP	205	83	156	66	62	74
LGALS4	2	6	3	3	5	3
LGALS7	0	0	0	0	0	0
LGALS7B	0	1	0	2	2	1
LGALS8	598	517	601	611	664	703
LGALS9	7	7	4	24	25	11
LGALS9B	0	0	0	0	0	1
LGALS9C	1	0	1	0	0	0
LGALSL	550	631	706	586	625	738
LGI1	6	8	17	24	36	49
LGI2	13	16	7	13	7	6
LGI3	0	0	0	1	0	1
LGI4	0	3	4	3	2	2
LGMN	4141	4330	3777	6384	6338	4841
LGR4	891	857	960	907	637	506
LGR5	444	479	614	179	173	307
LGR6	3	3	6	1	11	22
LGSN	4	3	4	3	2	3
LHB	2	2	0	0	1	0
LHCGR	7	6	6	10	8	8
LHFPL1	20	33	46	20	33	23
LHFPL2	1625	2046	1353	1976	1530	1311
LHFPL3	4	0	1	0	2	3
LHFPL4	6	2	3	4	4	1
LHFPL5	2	1	0	1	0	0
LHPP	65	49	105	49	48	58
LHX1	5	4	5	0	0	7
LHX2	4	1	7	4	4	5
LHX3	0	0	0	0	0	0
LHX4	11	11	7	15	18	4
LHX5	0	0	1	0	0	0
LHX6	13	8	17	1	2	6
LHX8	76	81	114	75	116	71
LHX9	1	0	1	0	0	0
LIAS	797	872	773	783	804	692
LIF	9	4	13	12	6	3
LIFR	1375	1089	1292	2234	1449	1294
LIG1	533	542	424	691	549	591
LIG3	2768	3112	2324	2755	2920	2148
LIG4	295	249	250	548	328	216
LILRA1	0	0	0	0	0	0
LILRA2	0	0	0	0	0	0
LILRA4	0	0	0	0	0	0
LILRA5	0	0	0	0	0	0
LILRA6	0	0	0	0	0	0
LILRB1	0	0	0	0	0	0
LILRB2	0	0	0	0	0	0
LILRB3	0	1	0	0	0	0
LILRB4	0	1	0	0	0	0
LILRB5	0	0	0	0	0	0
LIM2	0	0	1	0	0	0
LIMA1	4107	3577	3426	3861	3218	2872
LIMCH1	542	491	577	1149	1466	1474
LIMD1	217	154	188	181	133	139
LIMD2	404	380	287	421	265	353
LIME1	0	0	0	1	0	0
LIMK1	110	156	107	149	110	121
LIMK2	779	616	500	555	728	459
LIMS1	1406	739	1029	1199	851	793
LIMS2	9	2	4	7	5	4
LIMS3	0	0	0	0	0	0
LIN28A	6879	6928	5994	7467	5198	4905
LIN28B	3068	2634	2330	2917	2071	1746
LIN37	25	48	18	35	33	47
LIN52	1383	1559	1133	1520	1504	1158
LIN54	429	410	419	571	375	346
LIN7A	407	400	442	710	357	348
LIN7B	50	52	43	47	52	60
LIN7C	6751	5132	6834	9265	5708	4251
LIN9	947	776	971	1144	675	716
LINC00634	3	8	5	6	12	5
LINC00672	21	26	33	19	27	40
