pos	neg
RP11-627G18.2	RALGPS1
RP11-631F7.2	RAP1GAP2
RP11-641C17.1	RASEF
RP11-642D21.1	RASL11B
RP11-643C9.2	RASSF9
RP11-64D22.5	RBM47
RP11-734I18.1	RBP5
RP11-744N12.3	RBP7
RP11-74E22.3	RFPL2
RP11-752L20.3	RGL3
RP11-754N21.1	RHBDL3
RP11-768G7.1	RHOV
RP11-768G7.2	RIMKLA
RP11-770J1.3	RIPK4
RP11-7F17.1	RIT2
RP11-7F17.7	RLN1
RP11-848P1.7	RLN2
RP11-84C10.4	RMST
RP11-86K22.1	RN7SL382P
RP11-86K22.2	RN7SL493P
RP11-88H9.2	RNF125
RP11-89N17.4	RNF144B
RP11-91P24.6	RNU6-516P
RP11-93I21.3	RNY3P13
RP11-95G6.1	ROCK1P1
RP11-96C21.2	RP1-131F15.3
RP11-981P6.1	RP1-150O5.3
RP3-331H24.6	RP1-213J1P__B.1
RP3-432I18.1	RP1-293L8.2
RP4-665J23.1	RP1-313I6.12
RP4-710M3.2	RP1-90G24.10
RP5-864K19.4	RP11-10A14.6
RP5-875H18.9	RP11-10O22.1
RP5-881L22.5	RP11-1102P16.1
RPL13AP23	RP11-112J3.16
RPL3P11	RP11-1144P22.1
RPL5P25	RP11-115D19.1
RPL7AP26	RP11-119D9.1
RPRM	RP11-119D9.4
RPS12P5	RP11-119H12.3
RSPO2	RP11-131K17.1
RSPO4	RP11-132A1.3
RUNX1	RP11-142A22.4
S100A16	RP11-148B6.1
S100A6	RP11-148B6.2
S100Z	RP11-149I23.3
SAMSN1	RP11-154H23.3
SBSPON	RP11-164N3.1
SCARA3	RP11-167J8.3
SCGN	RP11-168P6.2
SCUBE3	RP11-180O5.2
SDK1	RP11-184E9.4
SDPR	RP11-191L9.4
SELL	RP11-192H6.2
SELP	RP11-209K10.2
SEMA3A	RP11-20D14.6
SEMA3D	RP11-218I7.2
SENCR	RP11-21B23.2
SERPINB13	RP11-222K16.2
SERPINB4	RP11-22C11.2
SERPINB8	RP11-231P20.2
SERPINE1	RP11-240B13.2
SEZ6L	RP11-255M2.1
SFXN3	RP11-256I9.2
SGIP1	RP11-25K19.1
SGMS2	RP11-264M12.4
SH2D3C	RP11-267L5.1
SH3RF3	RP11-277P12.10
SH3TC1	RP11-281P23.2
SH3TC2	RP11-28G8.1
SHC3	RP11-297M9.1
SHOX2	RP11-298D21.1
SHROOM4	RP11-305F18.1
SIGLEC15	RP11-320N7.2
SLA	RP11-326I11.3
SLC18A1	RP11-326K13.4
SLC19A3	RP11-340E6.1
SLC1A1	RP11-345N11.1
SLC22A3	RP11-348H3.8
SLC24A2	RP11-349F21.2
SLC30A10	RP11-355F16.1
SLC39A2	RP11-359M6.1
SLC46A3	RP11-35J1.2
SLC4A4	RP11-35J10.6
SLC51B	RP11-385F7.1
SLC6A19	RP11-390F4.6
SLCO2B1	RP11-3B12.3
SLIT3	RP11-3B12.5
SLITRK6	RP11-400N13.2
SLN	RP11-401P9.7
SMAD9	RP11-404O13.5
SMARCD3	RP11-411B10.2
SMIM2	RP11-415G4.1
SMIM3	RP11-418J17.3
SMOC1	RP11-428L21.1
SNCAIP	RP11-431J24.2
SOAT2	RP11-431N15.2
SOBP	RP11-440I14.2
SORBS2	RP11-445L6.3
SOST	RP11-44F21.5
SOX17	RP11-457D13.4
SOX7	RP11-466P24.6
SOX9-AS1	RP11-469A15.2
SPRR2D	RP11-469N6.1
SPRR2E	RP11-474P2.5
SRD5A2	RP11-47L3.1
SRPX2	RP11-486P11.1
SRSF8	RP11-493L12.3
SST	RP11-498P14.3
ST3GAL5	RP11-527L4.5
ST7	RP11-532F12.5
ST8SIA4	RP11-54H7.4
STAR	RP11-554I8.2
STMN2	RP11-556H2.1
STON1	RP11-562F9.2
STX3	RP11-562F9.3
STXBP6	RP11-564D11.3
SULF2	RP11-568A7.2
SYNE1	RP11-568A7.4
SYNE1-AS1	RP11-573D15.8
SYNPO	RP11-586D19.1
SYNPR	RP11-586D19.2
SYTL2	RP11-58O9.2
SYTL4	RP11-598D14.1
SYTL5	RP11-638F5.2
TAF7L	RP11-669M16.1
TAL1	RP11-680C21.1
TBX18	RP11-680H20.2
TBX2	RP11-686F15.2
TBX20	RP11-68I18.10
TBX5	RP11-69I8.2
TCAF1P1	RP11-69I8.3
TCF21	RP11-728G15.1
TDO2	RP11-731D1.1
TEK	RP11-747H12.5
TENM2	RP11-74E22.8
TFF1	RP11-771K4.1
TFPI	RP11-788H18.1
TFPI2	RP11-789C1.1
TGFB2	RP11-7F17.3
TGFB3	RP11-815M8.1
TGFBI	RP11-85G21.3
TGFBR3	RP11-867G2.6
THBS1	RP11-87G24.2
THSD1	RP11-888D10.4
THSD7A	RP11-92K15.1
TIMP1	RP11-96B5.3
TIMP3	RP13-16D10.1
TLE6	RP13-476E20.1
TLL1	RP13-650J16.1
TLR4	RP13-735L24.1
TLR6	RP3-325F22.5
TM4SF1	RP3-428L16.1
TMCC1-AS1	RP3-523C21.2
TMCC3	RP3-523K23.2
TMCO5B	RP4-590F24.2
TMEM100	RP4-601P9.2
TMEM117	RP4-660H19.1
TMEM119	RP4-797C5.2
TMEM132C	RP4-799P18.2
TMEM200B	RP5-834N19.1
TMEM56	RP5-865N13.2
TNC	RPARP-AS1
TNFAIP6	RPL32P26
TNFRSF19	RPL7P20
TNFSF4	RPS3AP39
TNIK	RPS3AP41
TNNT2	RPS6P12
TNS1	RTBDN
TPD52L1	RTP1
TRABD2B	RUNDC3A
TRAF1	RUNDC3A-AS1
TRIL	RYR2
TRIM55	SAMD12
TRIM9	SCAMP5
TRPA1	SCG3
TRPC6	SCGB3A2
TSHZ1	SCN2A
TSPAN13	SCN4A
TSPAN15	SCNN1A
TSPAN8	SDR16C5
TUSC7	SEC14L5
TVP23C	SEL1L3
TWIST1	SEMA3E
U51244.2	SEMA3F
UACA	SEMA6A
UBXN10-AS1	SEMA6A-AS1
ULBP2	SEMA6B
UMODL1	SERINC5
UNC13B	SERPINB2
UTS2	SERPINB5
VASH1	SERPINB9
VCAM1	SERPINI2
VDR	SETSIP
VTN	SFRP2
VTRNA1-2	SGK1
WISP1	SH2D3A
WNT16	SH3GL2
WNT2	SHANK2
ZBTB20	SHISA2
ZEB2	SLC12A3
ZEB2-AS1	SLC15A1
ZFPM1	SLC15A2
ZFPM2	SLC16A12
ZFPM2-AS1	SLC25A3P1
ZNF219	SLC25A48
ZNF385D	SLC34A2
ZNF467	SLC36A2
ZNF469	SLC38A4
ZNF491	SLC52A3
ZNF630-AS1	SLC5A5
ZNF860	SLC7A14
ZNF862	SLFN13
	SMPDL3B
	SNAP91
	SOCS1
	SOX15
	SOX2
	SP3P
	SP5
	SP7
	SP8
	SPACA3
	SPAG1
	SPATA16
	SPCS2P3
	SPIN2A
	SPINK2
	SPTSSB
	ST14
	ST6GALNAC5
	STEAP2
	STYK1
	SULT1C2
	SUSD2
	SYK
	SYNDIG1
	SYNE4
	SYNGR3
	SYT12
	SYT4
	SYT6
	SYT7
	T
	TAC1
	TACR1
	TBC1D2
	TBC1D27
	TBX22
	TC2N
	TCEAL2
	TCL1A
	TCL1B
	TCP11L2
	TDGF1
	TDGF1P3
	TDRD1
	TESPA1
	TEX11
	TEX14
	TFAP2A
	TFAP2B
	TFAP2C
	TFCP2L1
	TGFA
	THBS2
	TIGD4
	TIMP4
	TJP3
	TLCD1
	TLL2
	TLX1
	TMC5
	TMCO4
	TMEM125
	TMEM132B
	TMEM154
	TMEM30B
	TMEM52B
	TMPRSS13
	TMPRSS4
	TNFRSF11B
	TNFRSF8
	TNFSF14
	TNFSF15
	TNNC2
	TNNI3
	TNS4
	TOB2P1
	TOX
	TPD52
	TPTEP1
	TRAF3IP2
	TRBC2
	TRDN
	TREML2
	TRIML2
	TRPC7
	TRPC7-AS2
	TRPM2
	TRPM3
	TSPEAR
	TSPEAR-AS2
	TSSC2
	TSSK6
	TSTD1
	TTC29
	TTC9
	TTLL6
	TUBA4A
	TUBB2A
	TUBB2B
	TUBB8
	TUNAR
	U91319.1
	UGT3A1
	UNC13A
	UNC13D
	UNC5D
	UNC93B6
	UNQ6494
	URAD
	USH1G
	USP18
	USP41
	USP44
	VASH2
	VAT1L
	VAV3
	VGLL3
	VIPR1
	VN1R51P
	VRTN
	VSIG1
	VSNL1
	VWA3B
	VWDE
	WBSCR17
	WFDC10B
	WIPF3
	WNK2
	WNT3
	WNT3A
	WNT5B
	WNT8A
	WSCD2
	XKRX
	YBX2
	Z69890.1
	ZBTB16
	ZDHHC23
	ZFR2
	ZIC2
	ZIC5
	ZMYND12
	ZNF165
	ZNF204P
	ZNF385C
	ZNF578
	ZNF600
	ZNF663P
	ZNF683
	ZNRF2
	ZSCAN10
